nomdepto,codigohabilitacion,nombre,nitsnit,direccion,email
Amazonas,9100100163,CENTRO COLOMBIANO DE OPTOMETRIA S.A.S - CENCOP,901053035,CARRERA 6 No. 7-03 Local 2,ipscencop@gmail.com
Amazonas,9100100162,CENTRO DE DIAGNOSTICO Y CIRUGÍA OCULAR DEL AMAZONAS S.A.S,901047475,CL 8 7-99 LC 3,opticapaulaerazo@hotmail.com
Amazonas,9100100019,E.S.E. HOSPITAL SAN RAFAEL DE LETICIA,838000096,Carrera 10 NO. 13-78 Leticia (Amazonas),gerencia@esehospitalsanrafael-leticia-amazonas.gov.co
Amazonas,9100100069,FUNDACION CLINICA LETICIA,900142282,AK INTERNACIONAL No 6-05,clinicaleticia@hotmail.com
Amazonas,9100100158,IMPROVE QUALITY REDUCE COST SAVE LIFES AUDITORES SAS (QCL AUDITORES SAS),900784482,CRA. 6 No. 8 - 76,servisaludqcl@gmail.com
Amazonas,9100100144,"INSTITUTO PARA LA PREVENCIÓN, EL TRATAMIENTO Y REHABILITACIÓN DE LAS ENFERMEDADES INMUNOSUPRESORAS SAS - RENACERA",900275974,CALLE 12 No. 6-22 Barrio Jardin,renaceraipsas@gmail.com
Amazonas,9100100168,IPS INDÍGENA MALLAMAS,837000084,CRA 9 No. 9-67,leticiacontacto@ipsmallamas
Amazonas,9100100111,IPS INDIGENA TRAPECIO AMAZONICO,900507834,CRA. 8 No. 8-56,fabiomarin@hotmail.com
Amazonas,9100100161,IPS NUEVO AMAZONAS S.A.S,901014934,CRA. 10 #14-07 ED XAMMARA LC 2,henrypo69@hotmail.com
Amazonas,9100100088,LABORATORIO DE CLINICA HUMANA GOMEZ VASQUEZ EU,900243862,CALLE 8 No. 9-99,laboratorioclinicahumanagv@hotmail.com
Amazonas,9100100027,LIGA DE LUCHA CONTRA EL CÁNCER SECCIONAL AMAZONAS,800219945,CALLE 10 Nº 7-26,anamilenaneira@hotmail.com
Amazonas,9100100149,MEDILIVE S.A.S,900924985,CALLE 13 No. 10-71,oapc@hispavista.com
Amazonas,9100100113,ORGANIZACIONES DE IMAGENOLOGIA COLOMBIANA OIC SA,830009112,CALLE 6 No. 6-60 ESCANOGRAFIA,claudia.porras@oicradiologia.com
Amazonas,9100100141,RAFAEL BUSTAMANTE Y CIA LTDA,830142044,CARRERA 10 No.12-99 BARRIO VICTORIA REGIA,rafaignacio2000@yahoo.es
Antioquia,500204360,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JUAN DE DIOS DE ABEJORRAL,890980643,CL Circular X Kr Calibio,abejhs01@edatel.net.co
Antioquia,502105098,ESE HOSPITAL PBRO LUIS FELIPE ARBELAEZ,800029509,KR 19 # 16 - 70,hospitalalejandria@gmail.com
Antioquia,503004374,ESE HOSPITAL SAN FERNANDO,890906346,Cra 51 No 52 81,esehospitalamaga@hotmail.com
Antioquia,503102091,E.S.E HOSPITAL EL CARMEN,890982101,CL 23 # 23 - 40,hospitalamalfi@gmail.com
Antioquia,503404432,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN RAFAEL,890980814,AV MEDELLIN NRO. 48-20,esehsrgerencia@gmail.com
Antioquia,503605108,NUEVA EMPRESA SOCIAL DEL ESTADO HOSPITAL LA MISERICORDIA,890980959,CL 8 # 7-108,eseangel@edatel.net.co
Antioquia,503801538,ESE HOSPITAL SAN RAFAEL,890982183,KRA10 # 16 - 1,angohs01@edatel.net.co
Antioquia,504003261,ESE HOSPITAL SAN JUAN DE DIOS DE ANORI,890982138,CL ZEA,anorhs01@edatel.net.co
Antioquia,504405014,ESE HOSPITAL SAN FRANCISCO DE ASIS,890397282,KR 8 # 7-29,hospitalanza@hospitalanza.gov.co
Antioquia,504514003,ATENCIÓN MÉDICA INTEGRAL MIRTIS S.A.S,900805371,CL 98A # 107 - 52,amirtis.s.a.s@gmail.com
Antioquia,504514066,Cardioestudio Zona Franca S.A.S,900728526,Cra 100 # 43 - 770 LT C 101 Piso 3,luz.ortiz@cardioestudio.com
Antioquia,504507880,centro de diagnostico especializado e.u.,811043405,KR 99 # 96-35 OF 304 Ed Apartacentro,centrodiagnos@hotmail.com
Antioquia,504501347,CENTRO DE SALUD DE PRIMER NIVEL-FUNDACIÒN DIOCESANA PARA LA SALUD,811035996,CL 103 # 95-20,fundaciondiocesanaparalasalud@gmail.com
Antioquia,504502157,CENTRO DIAGNOSTICO APARTADO CEDA LIMITADA,800005324,CL 100 # 103 - 26,cedarxul@edatel.net.co
Antioquia,504510905,Centro Optico Uraba S.A.S.,900317675,KR 102 # 98 53,moncadagarzon@yahoo.com
Antioquia,504516209,CLAUDIA PATRICIA AGUADO QUINTERO S.A.S,900996543,CLL 102 Nª 98 -11 LC 201,althaiasalud@gmail.com
Antioquia,504506160,CLINICA CHINITA S.A.,800123572,KR 98 # 102 - 11/13/15,clinicachinita@gmail.com
Antioquia,504501359,CLINICA DE URABA SA,800058856,DG 99 E # 106 C -56/58/ 84,administracion@clinicadeuraba.com
Antioquia,504511148,CONSULTORIO DE OPTOMETRIA VEA S.A.S,900337687,CLL 99 #102-87,opticavea@une.net.co
Antioquia,504513907,CORPORACION IPS CEDISALUD,900467430,calle 98 # 102 68,calidad@cedisalud.com
Antioquia,504511209,ENDOSTETIC S.A.S,900345333,DG 1OO 1O6C 58/60/64 BRR LOS PINOS,endostetic@hotmail.com
Antioquia,504515486,FUNDACION AVIVAR CAD,900986371,CALLE 95 Nro 100-24,secretaria@fundacionavivar.org
Antioquia,504513218,Fundacion Oportunidad y Vida,900184499,CL 98 # 104-103,oportunidadyvida@hotmail.com
Antioquia,504509933,FUNDACION PARA LA INVESTIGACION Y LA PARTICIPACION SOCIAL FUNIPAS,811045445,CL 106 # 97- 51,funipas@yahoo.com
Antioquia,504515953,G Y H OPTICAS S.A.S,900958130,CR 102 # 98-49,opticamundoapartado@hotmail.com
Antioquia,504511076,GASTROMEDIC S.A.S.,900320195,KR 98 #106 - 78,hermesfrancisco1964@live.com
Antioquia,504511426,INSTITUTO RADIOLÓGICO ORAL DE URABÁ S.A.S.,900199315,KR 99 # 96 - 35 LC 103,institutoradiologicooraldeuraba@hotmail.com
Antioquia,504515633,INTEGRAL SALUD SEGURIDAD Y SALUD EN EL TRABAJO DE URABA S.A.S,900989341,CARRERA 99 NUMERO 97- 16,isaluduraba@gmail.com
Antioquia,504509446,INTISALUD IPS S.A.S.,900073356,CL 103 # 97 - 101 - 107,briseida1@intisalud.com
Antioquia,504513854,IPS CONSTRUYENDO SUEÑOS DE AMOR S.A.S,900783786,CL 91 # 96 A 35,ocupacionalkarina15@hotmail.com
Antioquia,504508430,LABORATORIO CITOLÓGICO Y PATOLÓGICO URABÁ S.A.S.,811040808,Calle 99 #96 -35 local 209 - 2010,laboratorio@labcipau.com
Antioquia,504513539,MEDIALCO ZONA FRANCA S.A.S,900577446,KR 100 CL 43 - 770 ZONA FRANCA LOTE C 1001 PI 3,medialcozf@gmail.com
Antioquia,504514489,MEDICINA EN ACCION I.P.S. COLOMBIA S.A.S,900477658,CRA 118 # 100 F -53,MEDICINAENACCIONAPARTADOR@GMAIL.COM
Antioquia,504509510,OFTALMOSERVICIOS IPS S.A.S.,811038804,CL 103 # 97 - 101 - 107,gerencia@clofan.com
Antioquia,504511606,OMEGA ODONTOLOGOS MEDICOS ESPECIALIZADOS Y GENERALES ASOCIADOS SAS,900358719,CL 98 A 105-B-70,omega-sas@hotmail.com
Antioquia,504511295,optica escorcia de uraba,900325021,kr 102 # 99 - 16,optiescorcia@hotmail.com
Antioquia,504510987,OPTICA LUZMAR I.P.S. S.A.S,900313110,CL 98 # 98-57,opticagenial@hotmail.com
Antioquia,504510977,ORGANIZACIONES DE IMAGENOLOGIA COLOMBIANA O.I.C.S.A.,830009112,CL 103 # 97-54 LC 103,oicradiologia@gmail.com
